"project_id","job_id","language","files","comment","code"
"32583","1728092",".Net Resource File","3","144","2584"
"32583","1728092",".Net Project File","3","2","231"
"32583","1728092",".Net Solution File","1","0","204"
"32583","1728092","ASP.NET","3","0","186"
"32583","1728092","YAML","2","0","93"
"32583","1728092","PowerShell","3","5","77"
"32583","1728092","Markdown","1","0","16"
"32583","1728092","Ignored","32","0","0"
"35646","1727768","C","2","0","12"
"25262","1727997","C#","377","6535","18670"
"25262","1727997","JavaScript","13","3815","10610"
"25262","1727997","Razor C#","97","10","9213"
"25262","1727997","Thor Template","2","0","1340"
"25262","1727997",".Net Project File","3","6","1020"
"25262","1727997","ASP.NET","9","1","623"
"25262","1727997","CSS","4","15","389"
"25262","1727997","Text","3","0","247"
"25262","1727997","XML","2","0","225"
"25262","1727997","YAML","2","0","134"
"25262","1727997",".Net Solution File","1","0","70"
"25262","1727997","StyleCop Settings","1","0","24"
"25262","1727997","JSON","2","0","17"
"25262","1727997","Ignored","7","0","0"
"40618","1727940","JavaScript","13","4245","16797"
"40618","1727940","CSS","8","50","12673"
"40618","1727940","JSON","9","0","252"
"40618","1727940","C#","5","6","202"
"40618","1727940","Text","3","0","143"
"40618","1727940","Razor C#","7","0","94"
"40618","1727940","PowerShell","1","10","93"
"40618","1727940",".Net Solution File","1","0","31"
"40618","1727940",".Net Project File","1","0","19"
"40618","1727940","Markdown","1","0","18"
"40618","1727940","Ignored","14","0","0"
"33598","1727669","C#","87","220","14200"
"33598","1727669","XML","21","459","1648"
"33598","1727669",".Net Project File","3","0","386"
"33598","1727669",".Net Solution File","1","0","272"
"33598","1727669","YAML","2","4","110"
"33598","1727669","PowerShell","3","5","77"
"33598","1727669","Text","1","0","35"
"33598","1727669","ASP.NET","1","0","14"
"33598","1727669","JSON","1","0","13"
"33598","1727669","Markdown","1","0","1"
"33598","1727669","Ignored","181","0","0"
"35673","1727893","C","2","0","12"
"38792","1727658","C++","5862","164721","2051096"
"38792","1727658","C","6136","71250","521994"
"38792","1727658","C#","429","3547","39534"
"38792","1727658","XSD","29","1344","32765"
"38792","1727658","Text","120","0","26619"
"38792","1727658","YAML","105","14","23084"
"38792","1727658",".Net Project File","38","70","6814"
"38792","1727658",".Net Resource File","23","1104","5553"
"38792","1727658",".Net Solution File","38","0","3979"
"38792","1727658","HTML","4","72","3449"
"38792","1727658","ASP.NET","91","0","1180"
"38792","1727658","Lua","2","341","1089"
"38792","1727658","Razor C#","26","0","1046"
"38792","1727658","Groovy","3","42","449"
"38792","1727658","DOS Batch","38","8","331"
"38792","1727658","XSLT","17","2","257"
"38792","1727658","SQL","3","5","161"
"38792","1727658","PowerShell","5","15","144"
"38792","1727658","Python","3","0","124"
"38792","1727658","Markdown","4","0","93"
"38792","1727658","XSL","1","5","82"
"38792","1727658","CSV","1","0","17"
"38792","1727658","Thor Template","1","0","14"
"38792","1727658","Apex","1","0","0"
"38792","1727658","Ignored","855","0","0"
"35477","1727930","Elixir","503","428","28852"
"35477","1727930","JSON","72","0","9683"
"35477","1727930","CSV","4","0","9190"
"35477","1727930","YAML","112","9","4284"
"35477","1727930","Markdown","20","0","862"
"35477","1727930","Python","7","0","250"
"35477","1727930","Shell Script","2","23","51"
"35477","1727930","SQL","1","46","28"
"35477","1727930","Ignored","113","0","0"
"32928","1727731","C#","1711","9829","114941"
"32928","1727731",".Net Project File","55","43","3364"
"32928","1727731","ASP.NET","17","1","2188"
"32928","1727731",".Net Solution File","1","0","1748"
"32928","1727731","JSON","27","0","1151"
"32928","1727731","YAML","4","14","889"
"32928","1727731","Text","8","0","271"
"32928","1727731",".Net Resource File","1","48","77"
