"project_id","job_id","authors","active_authors","entities","commits"
"45249","1709471","0","0","0","0"
"36435","918191","1","1","183","3"
"36880","947879","2","1","103","39"
"45991","1757945","2","1","11","25"
"38816","1089089","0","0","0","0"
"34151","1799888","4","4","7375","456"
"35675","1037311","1","1","2","4"
"41090","1799270","554","32","4217","11453"
"18677","1037139","28","18","8191","26211"
"34182","824263","414","36","13934","6044"
"36481","940114","18","1","78","220"
"35360","877714","3","1","21","52"
"39080","1104659","2","1","103","39"
"37224","1018576","115","8","17840","17323"
"34809","863070","39","2","327","123"
"36692","936303","1","1","12","6"
"33506","788735","18","3","452","751"
"20356","827482","2","1","48","10"
"36091","900034","2","1","11","25"
"36119","900678","2","1","103","39"
"38264","1046933","108","12","679","2458"
"41878","1799791","0","0","0","0"
"35177","870689","2","1","11","25"
"35794","1037423","1","1","2","4"
"34067","815277","1","1","9","7"
"36198","906202","2","1","11","25"
"33501","787908","19","7","344","1753"
"41101","1270580","87","2","6813","18671"
"38361","1057151","2","2","65","60"
"35300","874548","2","2","14","2"
"38818","1089100","0","0","0","0"
"34502","842145","18","1","78","220"
"34384","835247","2","1","103","39"
"41645","1310667","1","1","114","14"
"41136","1798863","118","9","11919","20550"
"37744","1007966","2","1","103","39"
"37413","984893","2","1","103","39"
"21571","939620","173","18","1516","1675"
"34166","821494","160","17","1044","8925"
"46051","1761445","208","2","1481","1763"
"35424","883463","19","2","1153","512"
"35149","869477","1","1","84","8"
"39800","1176364","1","1","99","3"
"36092","900040","2","1","103","39"
"33258","796831","3","1","270","205"
"34526","842785","18","1","78","220"
"12878","999244","0","0","0","0"
"39042","1100300","148","18","6265","4833"
"41821","1799428","65","18","7616","13570"
"38136","1039198","2","1","103","39"
"40784","1252342","1","1","45","11"
"41668","1312457","2","1","103","39"
"37879","1020007","2","1","11","25"
"32669","771118","35","2","1828","273"
"43487","1516745","0","0","0","0"
"35375","878969","2","1","103","39"
"35148","869460","233","67","5033","7360"
"42413","1402353","2","1","11","25"
"36903","949715","378","48","1876","8835"
"38252","1046201","2","1","11","25"
"41427","1287821","1","1","112","13"
"34739","857062","18","1","78","220"
"42835","1447365","1","1","37","1"
"33594","793869","2","1","460","562"
"34077","815833","101","8","907","3267"
"41262","1275616","2","1","11","25"
"35704","1037066","1","1","2","4"
"46535","1798340","2","1","11","25"
"35465","884775","5","2","19","21"
"35515","886073","2","1","103","39"
"37010","956752","59","42","108","332"
"35857","891886","2","1","11","25"
