"project_id","job_id","authors","active_authors","entities","commits"
"35101","884166","26","2","199","105"
"35898","892355","2","1","103","39"
"36120","900701","2","1","103","39"
"37951","1027408","2","1","11","25"
"34707","879366","4","4","3304","3083"
"40779","1275013","878","136","256018","141741"
"13716","1176825","38","9","744","996"
"30225","908967","132","15","5990","2913"
"32875","891220","1","1","24","5"
"28647","923546","101","16","2605","2863"
"43040","1464526","2","1","103","39"
"32873","1727754","15","4","1757","2022"
"40125","1728218","3","1","214","434"
"34794","862041","2","1","103","39"
"36421","916175","2","1","11","25"
"38042","1033108","2","1","11","25"
"32159","816303","751","179","6476","47592"
"31937","1638944","26","3","64","222"
"36202","906228","2","1","103","39"
"36589","929728","2","1","103","39"
"35464","884675","2","1","103","39"
"39820","1728532","67","11","26284","26091"
"32588","1728451","5","4","1388","235"
"34823","863354","2","1","103","39"
"44855","1675153","2","1","103","39"
"10987","1036859","100","5","20631","2989"
"32584","783901","6","4","340","137"
"41669","1312468","2","1","103","39"
"36889","1728545","5","2","453","896"
"36304","909963","2","1","103","39"
"29429","878340","180","44","8917","10457"
"43551","1525679","2","1","11","25"
"36711","937521","2","1","11","25"
"35900","892382","2","1","103","39"
"26997","1176907","9","3","1258","242"
"34637","851764","2","1","103","39"
"34859","864886","2","1","103","39"
"39620","1727937","3","2","38","241"
"41693","1728418","21","3","1122","1124"
"12973","1722479","112","21","6338","3271"
"36253","908293","2","1","103","39"
"43086","1727521","1","1","389","1"
"34763","1727562","4","3","19","26"
"43721","1727573","1","1","106","50"
"34657","853326","2","1","103","39"
"38802","1728427","3","2","54","69"
"37312","1728733","59","5","25715","1092"
"34817","863304","2","1","11","25"
"33616","890340","34","20","1864","1009"
"36425","916212","2","1","103","39"
"14151","1176522","39","6","1849","1710"
"36077","898864","2","1","103","39"
"36834","944339","2","1","103","39"
"30781","892467","57","23","3188","2639"
"35971","1728477","12","6","15696","21013"
"38478","1729000","13","4","923","666"
"36161","903029","2","1","103","39"
"42799","1442123","2","1","103","39"
"38927","1128004","2","2","20","13"
"35543","922980","25","5","282","555"
"14422","1728088","8","8","43","64"
"35774","1728193","1","1","2","4"
"37707","1004325","2","1","11","25"
"43894","1564710","2","1","103","39"
"36273","909481","2","1","103","39"
"34142","818822","2","1","103","39"
"29445","802931","5","5","3882","27"
"13270","1178667","34","3","675","1351"
"35862","891943","2","1","103","39"
"35384","1671193","16","16","94","787"
"33969","1728488","12","6","517","137"
"37004","956538","2","1","11","25"
"28973","933465","52","16","1935","839"
"34556","845934","2","1","103","39"
"35432","883381","2","1","11","25"
"29292","1178030","25","2","584","685"
"34550","891673","1","1","77","4"
"35750","1719816","1","1","2","4"
"33035","897919","11","2","129","57"
"36568","928178","2","1","103","39"
"44726","1727605","4","2","171","64"
"39992","1188783","2","1","103","39"
"12235","1725480","6","1","21","57"
"35091","867602","2","1","103","39"
"43169","1483747","2","1","11","25"
"36411","1727821","5","2","340","69"
"32582","1727618","6","5","547","327"
"35541","886558","2","1","103","39"
"29398","831028","8","7","4833","4048"
"36369","915181","2","1","11","25"
"36201","906217","2","1","103","39"
"39818","1727484","31","10","39704","379"
"34217","824534","2","1","103","39"
"15858","1177453","59","12","635","1830"
"38402","1727727","4","2","29","11"
"38518","1067759","2","1","103","39"
"36973","1725877","2096","212","137610","235396"
"30990","1176371","19","5","246","352"
"36498","921860","2","1","103","39"
"25912","1728568","8","4","639","628"
"34869","889811","10","2","16430","28"
"39642","1160509","2","1","103","39"
"40656","1240040","2","1","103","39"
"43737","1544348","2","1","103","39"
"39108","1108454","2","1","103","39"
"19602","812870","215","57","12746","17055"
"35103","884236","79","19","1898","1841"
"37310","1727709","45","12","1945","947"
"41015","1264470","2","1","103","39"
"37775","1011452","2","1","11","25"
"35414","881630","2","1","103","39"
"43017","1462735","2","1","11","25"
"35282","873828","2","1","103","39"
"39015","1728475","9","5","339","211"
"16736","773651","6","1","117","379"
"36017","897675","2","1","11","25"
"34643","1728040","4","4","351","420"
"34598","850643","2","1","11","25"
"45048","1693317","2","1","103","39"
"34603","1728464","1","1","22","15"
"40604","1239661","5","5","23","10"
"35107","884119","24","2","152","376"
"33451","1727880","5","5","394","287"
"35738","1724984","1","1","2","4"
"39492","1145133","2","1","103","39"
"37755","1008646","23","2","601","727"
"45244","1709313","2","1","103","39"
"38801","1728293","3","2","45","179"
"42271","1387084","2","1","11","25"
"43733","1544313","2","1","11","25"
"23921","1224643","29","17","700","2027"
"38103","1037877","2","1","103","39"
"38886","1728453","17","4","301","520"
"36450","918429","2","1","11","25"
"41860","1676163","19","6","6808","2416"
"38929","1128242","10","2","172","109"
"36657","934173","2","1","11","25"
"34753","857393","2","1","103","39"
"41402","1726307","1","1","74","85"
"20798","812325","1","1","182","564"
"28808","892915","11","1","840","829"
"45079","1728294","4","1","124","129"
"39762","1170315","2","1","11","25"
"39593","1156142","2","1","103","39"
"15520","1254331","19895","1709","165192","740965"
"39323","1130297","2","1","103","39"
"41576","1302576","2","1","103","39"
"40041","1193097","2","1","103","39"
"13079","1176117","45","10","553","1915"
"39815","1177257","2","1","103","39"
"35874","892176","2","1","11","25"
"37741","1007948","2","1","11","25"
"45075","1727785","2","1","58","34"
"41901","1728296","1","1","4","3"
"34838","863686","2","1","103","39"
"32077","789736","1","1","1","1"
"42973","1458229","2","1","103","39"
"43722","1634376","5","4","292","68"
"41593","1304134","2","1","103","39"
"43436","1511999","2","1","103","39"
"38750","1727861","1","1","6","1"
"39616","1727782","2","2","2836","5"
"32537","1727902","5","3","1221","434"
"42451","1406672","2","1","103","39"
"34179","821773","2","1","103","39"
"45076","1726376","2","2","16","50"
"20090","967451","92","62","123389","12190"
"29699","1224601","8","1","90","30"
"29606","872267","247","1","1636","1235"
"38800","1726405","2","2","89","298"
"40740","1727907","5","1","513","154"
"34175","821753","2","1","11","25"
"45429","1719506","2","1","103","39"
"27051","1225609","233","129","30028","133180"
"35988","896954","2","1","11","25"
"31760","1176314","19","6","111","268"
"32490","835391","3","2","63","53"
"35245","872938","2","1","103","39"
"40635","1239754","2","1","103","39"
"38919","1129336","1","1","18","1"
"40854","1726025","19895","1709","55063","740965"
"38926","1127503","10","4","174","184"
"27163","797737","23","1","21010","20132"
"33361","1727845","6","5","484","709"
"42417","1402384","2","1","103","39"
"26026","1227024","77","34","1357","2386"
"34440","838866","2","1","103","39"
"36032","897927","2","1","11","25"
"35893","892325","2","1","11","25"
"36949","953983","2","1","103","39"
"43410","1728072","1","1","59","26"
"37541","1029726","54","7","692","822"
